chapter_no,title,section
1,Neonatal Hypoglycemia,Neonatology
2,Atopic Dermatitis,Dermatology
3,Anaphylaxis,Allergy/Immunology
4,Difficulties in Breathing,Respiratory
5,Neonatal Sepsis,Neonatology
6,UTI,Nephrology
7,Food Allergy,Allergy/Immunology
8,Enteric Fever,Infectious Diseases
9,Menstrual Irregularities,Adolescent
10,Croup in children,Respiratory
11,Community Acquired Pneumonia,Respiratory
12,Hypothyroidism,Endocrinology
13,Rickets,Endocrinology
14,Allergic Rhinitis,Allergy/Immunology
15,Viral Hepatitis,Infectious Diseases
16,Enuresis,Nephrology
17,Sinusitis,ENT
18,Acute Tonsillo-pharyngitis,ENT
19,Post Covid Lung,Respiratory
20,Acute Watery Diarrhea,Gastroenterology
21,Leptospirosis,Infectious Diseases
22,Diabetes Mellitus,Endocrinology
23,Urticaria,Allergy/Immunology
24,Acute Otitis Media,ENT
25,Acute Rheumatic Fever,Cardiology
26,Childhood Obesity,Endocrinology
27,Bronchiolitis,Respiratory
28,Febrile Neutropenia,Hematology/Oncology
29,Empyema,Respiratory
30,Persistent Diarrhea,Gastroenterology
31,SLE,Rheumatology
32,HSP,Rheumatology
33,Growing Pains,Orthopaedics
34,Heart Failure,Cardiology
